商品评论,情感分析结果,评价倾向
其他特色：速度还是挺快的，比较好闻试了下很丝滑无腻l感接来就看效果。,0.9998975351483271,喜欢
用后感觉很清爽，而且不过敏上非常错查了是正品&helip;,0.34835569928015775,不喜欢
一直相信雅诗兰黛的眼霜，虽说以前没用过但这个品牌就值得我赖。身边朋友都很好极力推荐购买使次遇到活动果断下手了物流快单第三天收包装小巧精爱?,0.9999562289031546,喜欢
很精致，质量非常好满意的一次购物。谢店家！整体来说还是值得再回发货快服务态度应该正品愉宝贝做工真细节棒爱了材结实手感劲流也性价比高买级包装不错而且格合理惠喜欢这个太?美较商特别有问题都及时处确相当网会到就迫待打开果没让我失望颜,0.9999999988001891,喜欢
一直在京东自营购物平台，买西十分方便的。大实话啊上真是吃穿用度全都可以解决得妥6.18就要到了时不还有着位力促销,0.2893405120008973,不喜欢
买了一直在使用的雅诗兰黛小棕瓶眼霜，特别舒服！不油腻且滋润三价格还是比较实惠发货也迅速没几天就收到。挺满意,0.9617809895410643,喜欢
强烈推荐给大家线上购买。十分感谢京东货物平台，快递小哥！,0.2876641557099695,不喜欢
味道不错，价格也实惠很赞啊快递哈来个图片期待效果第一次用好了还买,0.9991358059916657,喜欢
"""应该是正品！god!眼霜质量非常好,与卖家描述的完全一致 真很喜欢超出期望值发货速度快包装仔细、严实物流公司服务态运送满意次购我会再光顾赞，迅网上这么激烈没想到店商热情下还来希有机合作祝你生兴隆乎料。找人蛮东不错淘心宝贝件让开事hapy""",0.9999980206737971,喜欢
3、回购，这个眼部精肌底华用上了离不开凉,0.06184916556659148,不喜欢
这款眼霜用了很多年，滋润效果真的好。次是促销吧价格实惠希望正品,0.999419355538839,喜欢
效果很好，淡化细纹黑眼圈适合40左右的爱美人士哟,0.8797494211804199,喜欢
眼霜收到了 已经用一段时间效果很好滋润防蓝光,0.951519734385179,喜欢
很好用，给妈买的起来效果非常喜欢已经是多次购了。,0.836751737078319,喜欢
雅诗兰黛 的眼霜，我一直觉得很好用第次在京东买应该是正品,0.9969811095509453,喜欢
雅诗兰黛抗蓝光眼霜已收到，是正品！这款产适合3560岁人群只要一点轻涂在晴周围然后缓推开很快就吸了滋润不油腻经用两瓶淡化皱纹的效果非常好皮肤越来大睛也显得更漂亮啦,0.9999653129607622,喜欢
雅诗兰黛眼霜每一次都很满意，这选的宝贝更加以后还会如既往地买下去?是正品跟商店里样在网购方便快捷质放心光顾！.^,0.9993231867139128,喜欢
不错，是正品价格便宜配送非常快已回购多次好请大家放心在他买,0.9753487000995644,喜欢
包装很好，颜值不错质量也没有问题双1买的快到了是全新正品?仔细宝贝收物流描述相符比较满意评推荐,0.9965286232497413,喜欢
很好用，滋润且清爽修护细纹挺的,0.9098140757312327,喜欢
使用后，感觉音质不错按键灵活手舒服。送的教材水平很高也特适新学习老公爱释天抱着练选择罗林斯悔,0.9998053825299374,喜欢
包装很好，是正品希望有效果眼睛细纹点多！,0.9499254001976974,喜欢
我用了好多年非常?细纹黑眼圈袋都会被去除放心购,0.444396917789845,一般
一直用这个品牌的，淡化细纹效果特别好值得信赖！,0.9981785492405794,喜欢
材质很好，量也不错到货快跟我在实体店买的一模样！还是用开心?仪已久果断下手过之后感觉正品递给力然名副其,0.9991787535114048,喜欢
适合人群：都可以用,0.7844385354104987,喜欢
使用方式：涂抹在眼周就好啦,0.41216623135005925,一般
淡纹能力：用了几天，没什么感觉,0.4506619352726776,一般
抗皱能力：坚持用吧,0.48529819875076685,一般
吸收程度：很好，果冻质地用上冰凉的。,0.7182876923279349,喜欢
适合人群：混型皮肤,0.7568120628751817,喜欢
使用方式：点3d在眼部周围,0.5427999374931549,一般
淡纹能力：现在刚开始使用，起来很清爽没有油腻的感觉,0.25743807571938404,不喜欢
抗皱能力：用过之后眼部感觉很舒服，,0.7791151440670739,喜欢
吸收程度：用完之后很好,0.8840694731963715,喜欢
其他特色：包装很精美,0.9135855700306511,喜欢
适合人群：30以上,0.7476574246817841,喜欢
使用方式：涂抹上后均匀按摩眼部,0.4484031135152061,一般
淡纹能力：四颗星,0.5195468775957557,一般
抗皱能力：五颗星,0.2795193621923918,不喜欢
吸收程度：?终于对它下手了，官方购买实在贵一半过海淘确认便宜不少这个价格能到正品真的再划算年纪上来总觉其他牌抗皱淡纹达效果还是值得拥有尝试想经济力就网好搜千差万别关键重要,0.9989781515314128,喜欢
使用方式：直接,0.6774193548387097,喜欢
淡纹能力：效果很好满意,0.962416190859356,喜欢
吸收程度：挺不错的，很喜欢,0.986719364416472,喜欢
适合人群：敏感肌,0.9143092588509999,喜欢
小县城的天气很热、街道窄办事慢闲话多&helip;但是空蓝，生活安逸,0.9292504781938644,喜欢
很好用，眼镜肿胀涂了会有缓解感觉,0.7680209688366533,喜欢
适合人群：这个～应该是所有爱美的女孩子吧，哈。,0.8442416705368051,喜欢
使用方式：直接涂抹在眼部周围,0.2900994299244096,不喜欢
淡纹能力：给女朋友买的，据说还不错,0.9709516776955146,喜欢
抗皱能力：应该还是有一定的效果，毕竟也不我用。女朋友起来很好～喜欢,0.9592378016502274,喜欢
吸收程度：很好，比较滋养皮肤。,0.9242123573426865,喜欢
其他特色：雅诗兰黛经典款的小棕瓶眼霜，用过都说不错。,0.9965441997839867,喜欢
包装好，一如既往爱用这款眼霜很滋润不错,0.997335661571776,喜欢
第一次购买的这款眼霜，真怕不是正品；但来了验之后、用尾纹以前少我经常熬夜人 黑圈自然有明显改善心错.做活动时所比较便宜好,0.9995370089458762,喜欢
一如既往的好，特别滋润虽然没有中文说明（这个商家交待）货是真品在京东平台信誉度还比较,0.1877294098663157,不喜欢
很快就收到了，非常完美方便！,0.9424505827088117,喜欢
用了好几瓶，刚完就补充易吸收很滋润大品牌值得信赖。,0.9954512679755383,喜欢
非常值得信赖的品牌，质量有保障价格还亲民相当满意宝贝做工真精细节棒爱了很致好一次购物。谢店家！,0.999999979808085,喜欢
特别好用的一款眼霜，不起泥而且吸收。长脂肪粒,0.7162523297640043,喜欢
抗皱能力：不奎是雅思兰黛 淡化细纹黑眼圈很有效果自用好几瓶了杠滴～,0.9886807100476893,喜欢
快递很，京东小哥给你直接送货上门呢蛮好的活动618买确实下次还是选择,0.4787505848112247,一般
用着感觉高颜值，品质非常好一分钱货材外观和量看就很上档次喜欢,0.9980675399758775,喜欢
非常快的物流，棒宝贝。包装小巧可爱且上档次这是护肤品精听朋友介绍说不错尝试着用过还保湿效果蛮好价廉美喜欢希望下多点活动,0.9999999926769061,喜欢
?超级好用！还很美观墙裂推荐有需要再回购到货就迫不及待打开了，果真没让我失望质量特别颜值也相当高满意的一次物,0.10862235329070147,不喜欢
本人熬夜，这款眼霜太适合我之前角有脂肪粒用完半瓶以后就不见了次价格很优惠继续回购,0.5214281207564724,一般
到货很神速，下单的第三天就了。,0.4659125358414459,一般
?从没想过这么实惠的价格，能买到好宝贝性比非常高我很喜欢哦终于收货了做工精致漂亮已经被多人夸真太开心是他家忠粉丝以后还会继续物与描述一样质量相当卖态度也有问必答发速杠值得购颜色看感子简单！要下次再来东西可快递给力细节棒爱第在网上评才不错便宜需朋友放,0.9999999912718419,喜欢
很好用的款眼霜，易吸收全天保湿显睛都有神了！,0.6125967147360043,喜欢
?看起来还不错，包装的很仔细价格也非常公道会继续买！双十一货收到后就拆开用了质量好东西和官网没区别终于对它下手颜值是真话说材物美廉趁活动赶紧囤推荐啊快递速度特爱,0.9273195537813786,喜欢
眼霜感觉很好，非常不错。,0.9510632048175409,喜欢
看起来很不错，物流快过几天用,0.9686405241588182,喜欢
这款蓝光眼霜是买得最便宜的一次，正品确认过了比以前专柜百多遇到搞活动就。很划算,0.988081544643531,喜欢
适合人群：20岁以上,0.766720414153266,喜欢
使用方式：直接涂抹,0.31219580491184595,不喜欢
淡纹能力：有效果,0.7887069086640707,喜欢
抗皱能力：常规淡化黑眼圈,0.8874358270477647,喜欢
收到宝贝，迫不及待使用一下很好,0.9661851276631441,喜欢
物流很快！刚收到货，用后来评价,0.4789937203725657,一般
淡纹能力：挺明显的,0.8609368639148158,喜欢
使用方式：腹轻 按摩,0.5334995508768284,一般
抗皱能力：去明显,0.4722299096389718,一般
吸收程度：很快,0.8978399758914632,喜欢
东西还不错，好评物流也很快满意。,0.9808669584191708,喜欢
一直用这款眼霜，保湿非常舒服。,0.8267805119895448,喜欢
物流非常给力 特别快而且包装完好无损，宝贝正品疑一如既往地强烈推荐雅诗兰黛的眼霜效果也很还会继续购买,0.999950830192174,喜欢
一直在用雅诗兰黛小棕瓶，吸收好皮肤感觉很舒服完再买。,0.9904502802870905,喜欢
价格优惠，物流很快看外观应该是正品。,0.99801085744787,喜欢
一直在用这款雅诗兰黛的眼霜，保湿效果很棒感觉和专柜买无差别应该是正品。,0.9992268509443392,喜欢
味道好闻，包装大气看上去特别高档性价比真的！,0.9994899153541739,喜欢
一直都用的，确实很不错贵是没得说了,0.9915591175235463,喜欢
送女朋友的，很喜欢精致看了一下是正品放心用。,0.9985558092258383,喜欢
一直都是在用的眼霜，起屯了好几瓶感觉能到明年推荐大家很值得购买,0.9823601158043765,喜欢
很好用，一直在买了多次值得购的性价比不错喜欢可以试。,0.9933467427572069,喜欢
挺好的，价格适中质量看着不错产品客服务态度特别很喜欢评包装物流快实惠比超市便宜多了,0.9998065903652719,喜欢
618战果，物流真的很快东西用了以后再评价咯,0.48648020523765556,一般
过年由于疫情原因，不能回老家就在京东上买了很多的货直接邮寄到真是方便！大品牌着放心一次选择价格实惠足出户送物流牛,0.9592238828579422,喜欢
已经用了两瓶，是正品淡化黑眼圈吸收很快活动力度大才50元太合适,0.8047354347548863,喜欢
质量没得说，跟专卖店一样特别喜欢而且价格优惠实体有区还便宜！五星好评非常想不到那么快就了趁着活动入手划算发货包装错全新验赞家服务态度很应该是正品次愉的购物宝贝棒自己要种风也谢老板颗,0.9999998236301073,喜欢
一直在用的这款雅诗兰黛眼霜，很不错。所以趁活动价入手了2瓶,0.9991562686236153,喜欢
【好评】质量非常，与卖家描述的完全一致满意真很喜欢超出期望值发货速度快包装仔细、严实物流公司服务态运送次购,0.8899155162144197,喜欢
京东物流很快，眼霜收到了一直用这款后滋润满意。,0.9745355536536745,喜欢
非常喜欢、用了一段时间黑眼圈明显有改善希望泪沟也可以得到,0.9897057678006426,喜欢
闻气味和看质地，旗舰店一样的应是正品。客服很耐心,0.2730961172566012,不喜欢
发货快，超划算的一款眼霜是正品很好用。继续期待效果,0.9996033518537544,喜欢
这个价格还是挺划算的！物美廉，值得推荐；质量颇好跟卖家描述完全一致性比高购实体店便宜多了很满意次。服务态度流也快包装结五星评在犹豫朋友赶紧下手良心直此平台放、省暖和给赞,0.9460919116286902,喜欢
快递收到了，小哥很贴心送货上门蛮好的618活动买划算呢一直相信京东这个品牌,0.9934009592611994,喜欢
还没拆包，看上去很漂亮但愿舒适。,0.9534241844188446,喜欢
买了好几次这个眼霜，特别用物流很快相信京东,0.8660727746128648,喜欢
一直在用这个牌子的，很不错相信京东商城快递小哥棒！,0.9724900905761061,喜欢
快递收到了，蛮好的京东很给你呢以后会一直选择雅诗兰黛这个活动确实便宜,0.9955113582743504,喜欢
京东 我一直很满意服务没想到这么好在618付款后今天客打电话给说多了退七十回来还帮解决其他订单问题太感谢,0.000341572966839343,不喜欢
很好，划算！,0.9282197931469751,喜欢
眼纹很严重，用了一段时间感觉挺好的。,0.9831788299668394,喜欢
物流太快了 谢！一直用这款没想到京东上可以买价格也不错,0.9581417486845328,喜欢
物流很快，还没用不知道效果怎么样是正品,0.9416150979158155,喜欢
活动买的。价格很优惠，非常喜欢信赖京东！满意物流快,0.9991779971878471,喜欢
在京东上购买很便宜，暂时还没使用看包装应该是正品好的话会回,0.9594724834044935,喜欢
保税区发过来的，快递很。效果使用以后再追评,0.10026359409739183,不喜欢
?质量很好，买的合我心意棒哒！需要亲们可以放购真喜欢客服态度也挺值后有还会来,0.5856750314245079,一般
很不错！老牌子常用抗皱纹有效果,0.9313568759038515,喜欢
雅诗兰黛眼霜，用着很合适不过敏喜欢,0.9849330509495576,喜欢
物流很快，已经反复购买多次了值得入手,0.9973053595767277,喜欢
吸收程度：很好,0.8112723394330117,喜欢
好货，做活动期间费用实惠发快递耐心服务态度很。,0.3139793838632383,不喜欢
非常好的一次购物体验 卖家发货很快递也及时以后还会经来,0.9898963034247761,喜欢
好宝贝，非常喜欢！下次还是选它当然如果价格更亲民些京东的服务也很不错哦就赞一个,0.9998504663336841,喜欢
东西很好，是正品对眼部细纹有的效果！,0.9597869402850003,喜欢
性价比非常高?，可以放心购买正品保证值得！,0.9996721589932236,喜欢
一直在用的好品牌，防蓝光淡化细纹效果很,0.8339269549842698,喜欢
看起来不错，这款已经用很长时间了,0.9825386041913478,喜欢
这款商品比实体店便宜很多，日期新质量也是杠的,0.7553696900243791,喜欢
非常好，女朋友很满意下次还会继续购买棒,0.9985588632181496,喜欢
每天使用，效果非常好搭配雅诗兰黛眼膜更,0.9888272310677985,喜欢
目前没有用出来效果，但上眼很舒服,0.8666645144033925,喜欢
特别好用的眼霜，很滋润喜欢！,0.9433648460952317,喜欢
大赞的眼霜，干性皮肤细纹处理效果很好,0.7884402129992366,喜欢
非常满意，抗皱能力很强使用方便赞一下。,0.9861672046863765,喜欢
非常的好用，专柜验证是正品服务也很,0.9628141871903089,喜欢
一如既往的雅诗兰黛小棕瓶，老婆非常满意。活动价也不错,0.9998240294292658,喜欢
眼霜很好用，是正品物流也快给个赞,0.9931414808121788,喜欢
东很好，品质不错。物流也快下次一定还买这家的,0.9865269844828868,喜欢
用了之后才来评价的，应该是正品物美廉好！,0.7061501710164891,喜欢
头一次买，希望会很好用！有效果下再,0.7343955970793021,喜欢
趁618囤货，,0.30369559084284714,不喜欢
发货速度很快！,0.9237456544776487,喜欢
京东购物体验就是棒?,0.8455506052113255,喜欢
保湿效果：很滋润，好！,0.8836041467311634,喜欢
发货很迅速，满意,0.8060712300776339,喜欢
淡纹能力：特别强,0.8643184964753613,喜欢
其他特色：淡化黑眼圈挺厉害的,0.8884598262832676,喜欢
很好，巴适物美价廉安逸,0.993149269250841,喜欢
速度快，质量好服务也很！一直相信京东自营,0.830762913335205,喜欢
使用感受：很好,0.8899794160802215,喜欢
适合肤质：很好,0.9451216085327262,喜欢
保湿效果：很好,0.8082831117851146,喜欢
其他特色：很好,0.8950052114268572,喜欢
吸收效果：很好,0.8794225942448934,喜欢
眼霜效果很好，经常使用还会再次购买,0.9946977764771608,喜欢
很好用，喜欢同事也还会再买的,0.854384050606042,喜欢
用了感觉非常的舒服，很合算好评！,0.9430188662605933,喜欢
一次非常满意的购物！,0.8463107097139686,喜欢
抗皱能力：淡纹很好,0.7298791475454286,喜欢
货物已收到！这是第二次买他家的啦非常不错,0.29150781713461493,不喜欢
货已收到，非常满意感谢快递小哥的亲自送上门,0.13335898147119352,不喜欢
发货很快，不错的购物体验下次还会再来买,0.9941205833170875,喜欢
一直使用这个牌子，对细纹很有效果,0.7019402919295473,喜欢
很好用，一直在趁着活动囤个货,0.876016631494024,喜欢
价格实惠，快递非常及时一直用这个品牌。,0.8479660310332209,喜欢
效果很好，吸收也物流快,0.944291238546997,喜欢
一直用这款眼霜。保湿效果很好?,0.9188564866343024,喜欢
价格便宜的，超市很实惠。还是喜欢京东购物,0.9979883143211953,喜欢
一直用这个，比实体店便宜很多下次还会来。,0.7805590000906762,喜欢
很好用，已经无数次回购值得推荐,0.7166840066352099,喜欢
非常喜欢这款眼霜的 效果也不错哦,0.9815987597086564,喜欢
东西挺好和之前用的一样很滋润,0.9421279704047727,喜欢
一直用的产品，不错很好,0.9533584498506111,喜欢
三八节送老妈的礼物，很喜欢,0.896429310492957,喜欢
一直在京东上购买，快递又服务态度很好。,0.5295708054357934,一般
很好用，不错的一款商品值得拥有哦,0.9973808858775063,喜欢
很好，喜欢信赖京东一如既往的。,0.9992434374763507,喜欢
好用推荐不错，五十元税费太多了,0.9086648850409578,喜欢
非常不错，媳妇一直用这次搞活动买了两瓶。,0.147300481284395,不喜欢
一直使用这个牌子的眼霜，很好,0.7256754461332413,喜欢
用的很好，对细纹有帮助,0.7609438730299719,喜欢
非常好，正品一直都买它抗蓝光,0.9620558013041313,喜欢
非常的好用，最值得信赖品牌,0.9973646243408771,喜欢
一直用这个，不油腻很好推开的,0.32950560647993776,不喜欢
商品不错，物流也很快下次还会再来购买！,0.9748125254859763,喜欢
物流超级快，滋润效果挺好的。,0.9884381913656534,喜欢
挺好的，感觉非常不错,0.9671909920359527,喜欢
收到货还没拆，是正品速度快非常棒,0.9846649595598129,喜欢
买了两盒，效果不错。发货超快,0.990152295242811,喜欢
比较好用，可以效果很,0.8437680784723763,喜欢
挺好的，正品非常划算用值得推荐,0.9975403732817885,喜欢
一直在他家买，发货速度东西也很好！,0.9116469539561078,喜欢
一直用雅诗兰黛眼霜，很好。,0.9858525990463671,喜欢
我一直用这个牌子，次买的很开心,0.7701134133706252,喜欢
东西非常好，很实用下次还买,0.8491049706829472,喜欢
轻薄，很容易吸收不错。,0.989218716042458,喜欢
给老婆买的，很喜欢好评6,0.7543229567480967,喜欢
一直使用的眼霜，活动时购买很划算。,0.9348445242727932,喜欢
不错物流很快！下次还来他家买东西,0.9803351876679938,喜欢
超级喜欢，抢购的下次有优惠一定要再买！,0.8905709100434306,喜欢
质量很好，一直在用没的说。,0.4735737035557128,一般
京东一如既往的让我满意，快递特别,0.8591326347142241,喜欢
跟我以前买的一个味道 很好用,0.6723368719366861,喜欢
全五星好评，价廉物美多次购买了。,0.778987822222637,喜欢
组合包装，很漂亮应该不错吧,0.9881874406704185,喜欢
东西不错，值得肯定和购买物流很快~,0.9939060033807314,喜欢
东西不错，价格实惠非常蛮好的,0.9947530880035866,喜欢
用起来很方便，下次还会再,0.678143858141303,喜欢
非常满意，很好！必须给五分,0.8541312820894922,喜欢
这款价格很好，重点是正品啊不错,0.9981083184963497,喜欢
质量很好，一直买这个品牌的眼霜。,0.8571844749464578,喜欢
一直都喜欢用他就眼霜非常好,0.7990097713793192,喜欢
给媳妇买的，很喜欢价格还可以,0.4635469731887125,一般
非常滋润，很好用的一款产品,0.8975391783015246,喜欢
已经买过很多次了，一如既往的喜欢,0.9440716076722847,喜欢
多年使用，抗皱效果很好。,0.6730100026574586,喜欢
非常不错的(*?&acute;╰╯`)，应该是正品,0.9679259341362543,喜欢
一直使用这款产品，京东价廉物美！,0.9264915870879251,喜欢
非常好，发货速度快包装精美,0.9597458679339579,喜欢
给媳妇买的生日礼物，很好,0.616621628550212,喜欢
使用感受：很舒服，保湿效果好,0.9518511943198396,喜欢
替朋友买的，物流很快优惠力度不小,0.62317801075888,喜欢
质量很好，包装严实送货及时。,0.8907465254160901,喜欢
一直在用的眼霜 很不错,0.7367904446709529,喜欢
赶上三八节活动，很值是正品。,0.9829848107104325,喜欢
买给妈的礼物，很不错,0.959990978007188,喜欢
送给媳妇儿的七夕礼物?，她很喜欢,0.9250489798773828,喜欢
很好，到货超快东西保真,0.9775497358863781,喜欢
产品好用，物流特别快。,0.8640819948174453,喜欢
用了都说好，家属很满意。,0.8139168233217616,喜欢
一直再用，是正品包装也很好,0.90285594010355,喜欢
在2.14号当天送给老婆，她很开心,0.7634955146352921,喜欢
正品，物流很快价格实惠。,0.9968693731204471,喜欢
老婆第二次购买，很好用,0.8492398419810259,喜欢
很好，不错可以,0.9518123289584978,喜欢
很好！满意喜欢,0.9410578704239463,喜欢
关键不贵还包邮，很划算值得,0.8113294617738287,喜欢
包装精美，看着很不错,0.9691495727092557,喜欢
发货速度很快，价格实惠满意。,0.9952249920708498,喜欢
质量非常好，已多次购买。,0.713227836633363,喜欢
挺好的，质量不错物流很快。,0.9938070127455925,喜欢
很好的东，一直在购买它。,0.8361815272479857,喜欢
效果很好的，下次还光顾,0.9003754641512028,喜欢
一直用这个眼霜很是喜欢的,0.9608198868569405,喜欢
"""发货物流很快,包装好.""",0.847614662477405,喜欢
有活动便宜很多！实惠,0.9720720585044048,喜欢
看着很好。应该是正品,0.9607710384004404,喜欢
给对象买的，应该很好,0.9337496825410084,喜欢
是正品，好吸收。很满意,0.9823276232811408,喜欢
正宗好用，物美价廉。,0.900620917546267,喜欢
东西不错，物流信息也很好,0.9482802286491228,喜欢
东西收到了，很好是正品。,0.9123123365971478,喜欢
一如既往的物美价廉。,0.9540224909512628,喜欢
老婆很喜欢应该是正品,0.9771140851271091,喜欢
很好，不错的坚持用,0.9518123289584978,喜欢
包邮产品非常好的服务。,0.2672038650229329,不喜欢
物流很快，618优惠大,0.8787423002806392,喜欢
雅诗兰黛眼霜，真的超级好用没使之前角处经常很干因为工作性质原熬夜上班袋重自从了这款已改善许多也不那么每天早晚手轻涂抹薄一层就还有抗蓝光非适合哈&helip;,0.23169315952111602,不喜欢
买下来才209很划算！,0.7828706870017792,喜欢
很好，是正品！,0.9502455588345124,喜欢
原来给老婆在京东自营上买过这款眼霜，感觉不错次赶行云全球汇美妆海外店搞活动一了两瓶包装略有小同味道是样的图片左边超市右应该正品吧。,0.4590362298879809,一般
3瓶包装横着放的，打开有点粘盖子一下应该会好些第次买才知道色带红期待用效果京东西是可以评如起不后还再反馈,0.0005816668348608278,不喜欢
这款雅诗兰黛的眼霜用了几个月，感觉效果不错黑圈没有以前明显所继续购买两瓶后打算一直使保持要！,0.9955285609306197,喜欢
买的最便宜一次雅诗兰黛小棕瓶眼霜，和在旗舰店样应该是正品挺滋润直用这个牌子。感觉效果不错,0.9982533938221153,喜欢
本人长期使用，感觉抗皱能力不错易吸收可淡纹适合熟龄群。应该是正品好评！,0.9357879031522743,喜欢
一直用雅诗兰黛的面精和眼，吸收好滋润度高有缓解假性干纹效果。是正品满意！发货快物流包装完推荐购买评,0.9999960057794148,喜欢
给老婆买的，化妆品是正从香港发货速度也比较快价格商场优惠很多。,0.996958053509937,喜欢
还是比较好用的。以前没过这种稠期待效果,0.7581594652087364,喜欢
刚收到货！迫不及待的就打开看了。以前也买这个牌子，觉得眼霜是最好用,0.459908705172305,一般
还可以啦，外观看不出问题相信商家是正品价格适中值得购买推荐。,0.9961703179748862,喜欢
收到了，朋友介绍的希望用过有效果好还会回购,0.57507940995777,一般
第一次使用，感觉效果不错,0.9020610059010479,喜欢
已空瓶，正准备第二次回购。,0.06267089374964663,不喜欢
货已收到：一直用这个品牌,0.3638163446868006,不喜欢
润的，好用是真货两瓶比考拉海购便宜10元了。,0.14682333254126256,不喜欢
雅诗兰黛的眼霜个人感觉用起来比较适合，之前袋好重现在改善了不少黑圈也以多打算后一直坚持下去希望保状态！,0.9401737602892237,喜欢
老婆一直使用这个牌子，本次叠加优惠券购买性价比还是不错。,0.9852619556008958,喜欢
送给老婆的 她喜欢我懂了哈,0.8798842160289619,喜欢
京东国际，原装进口正品保证无限回购,0.9905157991750088,喜欢
一直用的兰蔻小黑瓶，没过棕这次赶上活动就囤货了给老妈下之前听同事说买自己会长脂肪粒但是年纪大人特别好滋润度高。因为办法辨真伪看着感觉像正品试还有些油可能不适合轻点福利吧,0.9508623854835558,喜欢
眼霜第三次购买了，是我比较喜欢的不油腻易吸收抗蓝光知道但蛮好用评,0.11899779471531524,不喜欢
好用，不油腻易吸收喜欢它含酒精满意,0.2236895192452314,不喜欢
用雅诗兰黛眼霜好几年了 应该是正品618活动价格实惠,0.9973717624691895,喜欢
回购，不错坚持使用有效果！,0.7279804388246653,喜欢
已经使用，保湿性效果挺好趁着618又下手了一瓶,0.6139445754361993,喜欢
保湿效果：聚会的天然味道，用起来量自己调节滑而一就嫩,0.795884219685775,喜欢
一直用雅诗兰黛眼霜，至少不长脂肪粒过干蛮滋润效果需要时间。,0.9631689986110008,喜欢
用了一段时间才来评价 ，挺好的完还会买,0.9021160845193286,喜欢
之前用过，觉得不错这次买了好几瓶,0.7169991219044947,喜欢
淡纹能力：?值得购买！没有什么味道，用起来还可以不舒服的地方所我蛮喜欢,0.9706554854059957,喜欢
味道是对的，应该正品盒子跟店里一样还没用崔知效果,0.7589859619515353,喜欢
用半个月才品论的，我有眼袋黑圈了以后明显可看见改善很多不是托儿哦忠实买家,0.0023369733290066197,不喜欢
果冻状的，也挺稠吸收还可以期待效能把小细纹减淡。,0.9506867605180943,喜欢
忘记照实物了，跟图片一样买过很多次有效的缓解黑眼圈和角细纹好用。,0.9866523686673871,喜欢
双十一在这家买过次眼霜，是第二了价格实惠。,0.6441244621955434,喜欢
一直用这款产品，效果不错值得拥有！,0.9980119991642185,喜欢
货已收到!外包装没有密封，裸瓶也。都是可以随意打开的那种不放心用后看效果吧,0.014338015496957568,不喜欢
还没用，但是ap鉴定过了真的所以应该正品吧包装挺好也有分量。,0.7634665523547445,喜欢
之前用过了，觉得挺不错的再购。,0.833451432160683,喜欢
看上去不错，还没有用。中午说明书,0.6187295449298896,喜欢
还没用，一直这个牌子的眼霜是蛮好包装如既往,0.5227130812769382,一般
